Guid,Added,Lat,Lon,Accuracy,FixTime,Comment,MarkerLat,MarkerLon,TypeName,IsADA
4CB89EF7-9768-40D7-B66C-4DF7794EB7E6,2016-11-14 15:55:46.000,30.61545877,-96.33499213,50,1479159610,,0.00000000,0.00000000,Non-ADA-accessible Door,0
33CF6F35-F06C-4614-85B9-697CEA42C0FD,2016-11-14 15:56:33.000,30.61597891,-96.33501249,5,1479160572,,0.00000000,0.00000000,Sidewalk Uneven surface,0
B33A53CF-DD53-4ED4-8107-C825382B589D,2016-11-14 15:57:32.000,30.61626863,-96.33524987,5,1479160623,,0.00000000,0.00000000,Sidewalk Uneven surface,0
A8EB2A71-EFC4-4F26-9981-F596160960E9,2016-11-14 15:58:23.000,30.61655521,-96.33542161,5,1479160664,,0.00000000,0.00000000,Cross walk,1
46A2B2A6-B4A9-4FD2-8524-A4C4B58AB756,2016-11-14 15:59:00.000,30.61692552,-96.33540971,5,1479160728,,0.00000000,0.00000000,Sidewalk Crack (Larger than ~1.5 inch),0
366077D7-B2D7-462D-9A1E-7BAD6A5CED7C,2016-11-14 15:59:36.000,30.61697749,-96.33543511,5,1479160747,,0.00000000,0.00000000,Curb Cut,1
89D0B02F-BF1D-48F6-80D7-165F334C2DB3,2016-11-14 15:59:45.000,30.61636905,-96.33936220,5,1479160739,,0.00000000,0.00000000,Sidewalk Uneven surface,0
E65BC762-2658-4F17-BF9E-67695E928087,2016-11-14 16:00:12.000,30.61720062,-96.33568648,5,1479160794,,0.00000000,0.00000000,Sidewalk Crack (Larger than ~1.5 inch),0
3526FB5C-036B-4FF3-B33E-8996FF4C5295,2016-11-14 16:00:21.000,30.61759327,-96.33894562,30,1479160779,,0.00000000,0.00000000,Accessible Door: Powered Assist,1
5812358C-13A8-481D-ACD0-A5731567B3C4,2016-11-14 16:00:36.000,30.61717019,-96.33568154,5,1479160816,,0.00000000,0.00000000,Sidewalk Uneven surface,0
534ECE7F-9B51-489F-A8A5-2D540A5CFB29,2016-11-14 16:01:04.000,30.61714504,-96.33562043,5,1479160844,,0.00000000,0.00000000,Curb Cut,1
E394804E-2E98-49DF-9DF6-55558A51BAD3,2016-11-14 16:01:55.000,30.61747232,-96.33596334,5,1479160894,,0.00000000,0.00000000,Sidewalk Uneven surface,0
7BD49134-EC58-4862-8B0E-F06A840FF99F,2016-11-14 16:02:01.000,30.61728557,-96.33769386,10,1479160903,,0.00000000,0.00000000,Ramps,1
ae386bb9-6a0c-4563-870e-8575170cbe09,2016-11-14 16:02:05.000,30.61985060,-96.34162200,32,1479160909000,None,30.61933552,-96.34166025,Accessible Door: Powered Sliding,1
4EDC3569-BEFE-4FFC-AEDA-D2102AAB267E,2016-11-14 16:02:23.000,30.61763358,-96.33608781,5,1479160924,,0.00000000,0.00000000,Curb Cut,1
CE6298B9-546F-4DF4-941F-F417B28F0E41,2016-11-14 16:02:51.000,30.61746942,-96.33748180,10,1479160958,,0.00000000,0.00000000,Ramps,1
b8a13cf5-0edf-494c-9c20-8858587b498b,2016-11-13 20:27:33.000,30.63067590,-96.35256000,228,1479090399000,"Guys, where are we?",30.63073769,-96.35242992,Sidewalk Crack (Larger than ~1.5 inch),0
5B18F993-0116-4C20-875A-511817498BE9,2016-11-13 20:53:37.000,30.60418366,-96.32183182,269,1479091985,Test,30.60383649,-96.31984146,Accessible Door: Powered Sliding,1
F3EB8835-466F-4C16-9E51-1202B1844AEA,2016-11-14 16:02:52.000,30.61781442,-96.33627506,5,1479160954,,0.00000000,0.00000000,Curb Cut,1
E2B9D628-2298-4423-91AA-488D6C547178,2016-11-14 16:03:10.000,30.61768593,-96.33736102,5,1479160977,,0.00000000,0.00000000,Ramps,1
